index,label,negative_label,category,type,high_conf,low_conf,calibrated,undefined_index
0,pal,no_pal,licensePlateNationality,binary,0.5,0.5,1,1
1,failure,success,licensePlateNationality,undefined,0.5,0.5,1,-1
