,category,index,label,high_conf,high_prec,high_recall,med_conf,med_prec,med_recall,low_conf,low_prec,low_recall
0,type,0,sedan,6.1844329833984375,0.9017395377159119,0.8065601587295532,5.051764011383057,0.8108226656913757,0.9350714683532715,3.919095516204834,0.7096439003944397,0.9772077202796936
1,type,1,suv,7.286407947540283,0.8020601272583008,0.4214452803134918,6.380373001098633,0.7068543434143066,0.6758338212966919,5.836752414703369,0.623366117477417,0.7883265018463135
2,type,2,van,5.8528900146484375,0.807179868221283,0.6679939031600952,5.3241472244262695,0.7247627377510071,0.7718223333358765,4.619156360626221,0.6189024448394775,0.870444118976593
3,type,3,pickup truck,4.9904704093933105,0.9074151515960693,0.8869779109954834,4.376975059509277,0.834074079990387,0.9221948981285095,3.7634799480438232,0.7202362418174744,0.9488124251365662
4,type,4,motorcycle,6.740442752838135,0.9042419195175171,0.8591380715370178,5.178197383880615,0.8012232184410095,0.9409417510032654,4.285485744476318,0.7036929130554199,0.9656823873519897
5,type,5,bus,3.7681217193603516,0.9064915180206299,0.9272727370262146,3.1475305557250977,0.8269754648208618,0.9596837759017944,2.5269393920898438,0.7265209555625916,0.9723320007324219
6,type,6,big truck,4.526614665985107,0.9040841460227966,0.7519299983978271,3.9865636825561523,0.8320726156234741,0.8492022752761841,3.4465126991271973,0.7101859450340271,0.9042717218399048
7,type,7,bicycle,8.658942222595215,0.875,0.13472802937030792,8.192602157592773,0.7331240177154541,0.1953974962234497,7.726260662078857,0.6265520453453064,0.2744769752025604
8,type,8,no-vehicle,6.717855453491211,0.9033107757568359,0.5301390886306763,5.354596138000488,0.8066017031669617,0.8039302229881287,4.2185468673706055,0.7072307467460632,0.92647385597229
9,type,9,forklift,4.490713119506836,0.9258713722229004,0.9458374977111816,3.4120819568634033,0.8050601482391357,0.973420262336731,2.9806294441223145,0.7283904552459717,0.9804413318634033
10,type,10,minivan,6.538333415985107,0.8269794583320618,0.5325779318809509,5.872802257537842,0.7129001021385193,0.6940509676933289,5.42911434173584,0.6214178204536438,0.7780925631523132
11,type,11,crossover,10.728925704956055,1.0,0.0012004801537841558,10.728925704956055,1.0,0.0012004801537841558,10.728925704956055,1.0,0.0012004801537841558
13,type,12,tractor,5.631410121917725,0.8510638475418091,0.2702702581882477,4.783756256103516,0.7075471878051758,0.5067567825317383,4.35992956161499,0.6293706297874451,0.6081081032752991
12,type,13,golf cart,4.3806657791137695,0.9014084339141846,0.6620689630508423,3.983396053314209,0.8262548446655273,0.7379310131072998,3.5861263275146484,0.718654453754425,0.8103448152542114
0,make,0,Acura,1.557084560394287,0.8239436745643616,0.5246636867523193,0.8445796370506287,0.6415094137191772,0.6098654866218567,0.48832714557647705,0.5687022805213928,0.6681614518165588
1,make,1,Alfa Romeo,2.7249114513397217,0.8055555820465088,0.5132743120193481,1.7661715745925903,0.60317462682724,0.6725663542747498,1.4465916156768799,0.5320512652397156,0.7345132827758789
2,make,2,Audi,0.7445759177207947,0.7556390762329102,0.7613636255264282,0.1433342695236206,0.6301774978637695,0.8068181872367859,-0.15728655457496643,0.5725388526916504,0.8371211886405945
3,make,3,Bentley,2.646049976348877,0.7582417726516724,0.5897436141967773,2.2304673194885254,0.6756756901741028,0.6410256624221802,1.3993017673492432,0.5088757276535034,0.7350427508354187
4,make,4,BMW,0.813774049282074,0.7820512652397156,0.6000000238418579,-0.022388339042663574,0.6143250465393066,0.7311475276947021,-0.3011091351509094,0.5629453659057617,0.77704918384552
5,make,5,Bugatti,2.204983711242676,0.7857142686843872,0.47058823704719543,1.0906555652618408,0.6134969592094421,0.5347593426704407,0.347770094871521,0.5392156839370728,0.5882353186607361
6,make,6,Buick,2.5192172527313232,0.7714285850524902,0.4931506812572479,1.5023715496063232,0.6160337328910828,0.6666666865348816,1.1634230613708496,0.5490909218788147,0.689497709274292
7,make,7,Cadillac,2.205678939819336,0.7569060921669006,0.5854700803756714,1.3784630298614502,0.608364999294281,0.6837607026100159,0.9648550152778625,0.5218750238418579,0.7136752009391785
8,make,8,Chevrolet,2.92230224609375,0.7638888955116272,0.5978260636329651,1.7607864141464233,0.6203271150588989,0.7214673757553101,1.1800284385681152,0.5378071665763855,0.773097813129425
