benchmark,tracker,tracker_year,preferred_detector,detector_id,detector,FPS,target_fps,avg_ms_per_frame,sequence_count,HOTA,DetA,AssA,MOTA,IDF1,IDCons,IDSW,Frag,MT,ML,run_id,evaluated_at,experiment_dir
fasttracker_bench,fasttracker,2025,YOLOX,gt_vehicles,gt,10,10.0,4.9084,12,0.9452239648641789,0.9351082948644541,0.9559018245118746,0.9576876713394125,0.9720101287907241,0.9813070734779564,138.0,326.0,770.0,32.0,fasttracker_bench_fasttracker_gt_fps10_20260817_083521,2026-08-17T05:38:56.930214+00:00,/media/7TBSSD/data/tracking/experiments/fasttracker_bench_fasttracker_gt_fps10_20260817_083521
fasttracker_bench,ocsort,2023,YOLOX,gt_vehicles,gt,10,10.0,5.1635,12,0.9817384134894812,0.9872952282321317,0.9762128742856173,0.987007368809908,0.9856671851917075,0.9914525539625174,61.0,57.0,848.0,9.0,fasttracker_bench_ocsort_gt_fps10_20260817_083521,2026-08-17T05:38:56.998341+00:00,/media/7TBSSD/data/tracking/experiments/fasttracker_bench_ocsort_gt_fps10_20260817_083521
fasttracker_bench,hybridsort,2024,YOLOX,gt_vehicles,gt,10,10.0,8.2040,12,0.9817918316448226,0.9872806462178952,0.9763335322910995,0.9869927867322537,0.9858064957967367,0.9913542954606679,61.0,57.0,851.0,9.0,fasttracker_bench_hybridsort_gt_fps10_20260817_083521,2026-08-17T05:39:17.447036+00:00,/media/7TBSSD/data/tracking/experiments/fasttracker_bench_hybridsort_gt_fps10_20260817_083521
fasttracker_bench,analytics_bytetrack,2022,YOLO,gt_vehicles,gt,10,10.0,4.6982,12,0.9898358541929321,0.9959953194774794,0.9837144804889554,0.9956934263993934,0.9910092002279358,0.9915376310300458,64.0,43.0,1008.0,9.0,fasttracker_bench_analytics_bytetrack_gt_fps10_20260817_083521,2026-08-17T05:38:54.227120+00:00,/media/7TBSSD/data/tracking/experiments/fasttracker_bench_analytics_bytetrack_gt_fps10_20260817_083521
fasttracker_bench,analytics_bytetrack_plus,2022,YOLO,gt_vehicles,gt,10,10.0,8.8548,12,0.9880527897059159,0.9957717286497121,0.9803936858027079,0.9953483172282387,0.9902337090473361,0.9896628850074212,89.0,70.0,1008.0,9.0,fasttracker_bench_analytics_bytetrack_plus_gt_fps10_20260817_083521,2026-08-17T05:39:21.968831+00:00,/media/7TBSSD/data/tracking/experiments/fasttracker_bench_analytics_bytetrack_plus_gt_fps10_20260817_083521
fasttracker_bench,botsort,2022,YOLOX,gt_vehicles,gt,10,10.0,3.8887,12,0.985379217409676,0.9902930702312126,0.9805466875548416,0.9985077673866972,0.9908569928693294,0.9805729676447731,293.0,11.0,1020.0,0.0,fasttracker_bench_botsort_gt_fps10_20260817_083521,2026-08-17T05:38:48.967710+00:00,/media/7TBSSD/data/tracking/experiments/fasttracker_bench_botsort_gt_fps10_20260817_083521
ua_detrac,fasttracker,2025,YOLOX,gt_vehicles,gt,10,10.0,1.3193,60,0.8111946468656147,0.7760914242703528,0.8566253409774294,0.8754090368767614,0.9377980297359635,0.9980854783356827,51.0,1269.0,5033.0,56.0,ua_detrac_fasttracker_gt_fps10_20260817_083521,2026-08-17T05:39:48.504620+00:00,/media/7TBSSD/data/tracking/experiments/ua_detrac_fasttracker_gt_fps10_20260817_083521
ua_detrac,ocsort,2023,YOLOX,gt_vehicles,gt,10,10.0,1.7786,60,0.9441764392012261,0.9430646472252762,0.9452895418878887,0.9428617221621188,0.9700542000762994,0.9990448207920833,62.0,65.0,5277.0,70.0,ua_detrac_ocsort_gt_fps10_20260817_083521,2026-08-17T05:40:05.948835+00:00,/media/7TBSSD/data/tracking/experiments/ua_detrac_ocsort_gt_fps10_20260817_083521
ua_detrac,hybridsort,2024,YOLOX,gt_vehicles,gt,10,10.0,2.6933,60,0.9441552041543518,0.9430512909472629,0.9452604095794973,0.9428517049324838,0.970040246496905,0.9990506453998902,61.0,64.0,5277.0,70.0,ua_detrac_hybridsort_gt_fps10_20260817_083521,2026-08-17T05:41:19.977732+00:00,/media/7TBSSD/data/tracking/experiments/ua_detrac_hybridsort_gt_fps10_20260817_083521
ua_detrac,analytics_bytetrack,2022,YOLO,gt_vehicles,gt,10,10.0,2.3737,60,0.9802650998936503,0.9815468300799907,0.9789850434563497,0.9814614470222115,0.9888685184311452,0.9991795738077389,36.0,3.0,5835.0,7.0,ua_detrac_analytics_bytetrack_gt_fps10_20260817_083521,2026-08-17T05:41:14.491719+00:00,/media/7TBSSD/data/tracking/experiments/ua_detrac_analytics_bytetrack_gt_fps10_20260817_083521
