benchmark,tracker,tracker_year,preferred_detector,detector_id,detector,FPS,target_fps,avg_ms_per_frame,sequence_count,HOTA,DetA,AssA,MOTA,IDF1,IDCons,IDSW,Frag,MT,ML,run_id,evaluated_at,experiment_dir
trafficmot,fasttracker,2025,YOLOX,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,10,,6.2183,27,0.5622359457245217,0.39636672686715907,0.8226001048000127,0.4061090610906109,0.6466224366706875,0.9911457968320713,16.0,186.0,315.0,253.0,trafficmot_fasttracker_yolov8_20260817_083521,2026-08-17T06:01:02.817293+00:00,/media/7TBSSD/data/tracking/experiments/trafficmot_fasttracker_yolov8_20260817_083521
trafficmot,ocsort,2023,YOLOX,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,10,,3.7969,27,0.5808594391954303,0.4066990296403028,0.855146654501988,0.4411131611316113,0.6598624772594123,0.990335615530168,20.0,237.0,332.0,257.0,trafficmot_ocsort_yolov8_20260817_083521,2026-08-17T06:01:07.739700+00:00,/media/7TBSSD/data/tracking/experiments/trafficmot_ocsort_yolov8_20260817_083521
trafficmot,hybridsort,2024,YOLOX,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,10,,5.5822,27,0.5812807352022696,0.4061438392353886,0.8575497240792513,0.44121566215662156,0.6606602900339401,0.990249588062962,15.0,234.0,333.0,259.0,trafficmot_hybridsort_yolov8_20260817_083521,2026-08-17T06:01:14.200976+00:00,/media/7TBSSD/data/tracking/experiments/trafficmot_hybridsort_yolov8_20260817_083521
trafficmot,analytics_bytetrack,2022,YOLO,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,10,,3.3506,27,0.592705864706566,0.42311891198115176,0.8577506746353601,0.4539770397703977,0.6787260081788603,0.9872951461135173,41.0,275.0,356.0,226.0,trafficmot_analytics_bytetrack_yolov8_20260817_083521,2026-08-17T06:01:18.710861+00:00,/media/7TBSSD/data/tracking/experiments/trafficmot_analytics_bytetrack_yolov8_20260817_083521
trafficmot,analytics_bytetrack_plus,2022,YOLO,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,10,,4.9321,27,0.5925896566493236,0.42289569685431233,0.8580046228096575,0.45407954079540797,0.6788475891924168,0.9865045380298236,39.0,277.0,356.0,226.0,trafficmot_analytics_bytetrack_plus_yolov8_20260817_083521,2026-08-17T06:01:24.728627+00:00,/media/7TBSSD/data/tracking/experiments/trafficmot_analytics_bytetrack_plus_yolov8_20260817_083521
trafficmot,botsort,2022,YOLOX,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,10,,2.9360,27,0.5570091677943653,0.3715024496667887,0.8591120495171938,0.4083128331283313,0.6242363512945663,0.9885298373860466,42.0,140.0,313.0,306.0,trafficmot_botsort_yolov8_20260817_083521,2026-08-17T06:01:23.507884+00:00,/media/7TBSSD/data/tracking/experiments/trafficmot_botsort_yolov8_20260817_083521
cityflow,fasttracker,2025,YOLOX,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,10,,1.6001,36,0.2589064288022815,0.13070420984394024,0.5427161108881657,-3.0297290535270136,0.3015003162555345,0.9871439572095672,42.0,579.0,473.0,102.0,cityflow_fasttracker_yolov8_20260817_083521,2026-08-17T06:02:38.230717+00:00,/media/7TBSSD/data/tracking/experiments/cityflow_fasttracker_yolov8_20260817_083521
cityflow,ocsort,2023,YOLOX,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,10,,2.0473,36,0.27228528233117255,0.13832084629203867,0.5572769734544982,-2.89444714262587,0.32059612276637905,0.9824663960132848,85.0,628.0,724.0,4.0,cityflow_ocsort_yolov8_20260817_083521,2026-08-17T06:02:55.707556+00:00,/media/7TBSSD/data/tracking/experiments/cityflow_ocsort_yolov8_20260817_083521
cityflow,hybridsort,2024,YOLOX,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,10,,3.5051,36,0.2734226998834641,0.1384177518725368,0.5627072419064768,-2.8856461653936156,0.3218183944158901,0.9823168481358142,72.0,624.0,722.0,5.0,cityflow_hybridsort_yolov8_20260817_083521,2026-08-17T06:04:57.959512+00:00,/media/7TBSSD/data/tracking/experiments/cityflow_hybridsort_yolov8_20260817_083521
cityflow,analytics_bytetrack,2022,YOLO,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,10,,2.2021,36,0.26375316926228204,0.13700191101611628,0.5281284850317458,-2.9649874166629875,0.31710953565049455,0.990250988066065,49.0,589.0,766.0,4.0,cityflow_analytics_bytetrack_yolov8_20260817_083521,2026-08-17T06:04:32.161366+00:00,/media/7TBSSD/data/tracking/experiments/cityflow_analytics_bytetrack_yolov8_20260817_083521
cityflow,analytics_bytetrack_plus,2022,YOLO,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,10,,3.6207,36,0.26624612347898596,0.13685693507715832,0.5387841426306332,-2.9620439460167485,0.3171395083248182,0.9852420412441979,77.0,614.0,751.0,4.0,cityflow_analytics_bytetrack_plus_yolov8_20260817_083521,2026-08-17T06:05:22.606430+00:00,/media/7TBSSD/data/tracking/experiments/cityflow_analytics_bytetrack_plus_yolov8_20260817_083521
cityflow,botsort,2022,YOLOX,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,10,,1.4238,36,0.28148780133519186,0.15013061087650295,0.5491853180285109,-2.376337439474885,0.3468084926479914,0.9827867371897702,91.0,496.0,736.0,11.0,cityflow_botsort_yolov8_20260817_083521,2026-08-17T06:05:19.946084+00:00,/media/7TBSSD/data/tracking/experiments/cityflow_botsort_yolov8_20260817_083521
lumana_benchmark,fasttracker,2025,YOLOX,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,20,,1.2604,24,0.7643397700565725,0.7427260895401208,0.7953249935767747,0.8085300684914323,0.8009239397712647,0.8963796734015874,275.0,720.0,305.0,61.0,lumana_benchmark_fasttracker_yolov8_20260817_083521,2026-08-17T06:05:23.278875+00:00,/media/7TBSSD/data/tracking/experiments/lumana_benchmark_fasttracker_yolov8_20260817_083521
lumana_benchmark,ocsort,2023,YOLOX,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,20,,1.5924,24,0.7783184656127005,0.7594470570400358,0.8043696157257866,0.8204370405680023,0.8180113358792661,0.903596884198637,272.0,985.0,291.0,58.0,lumana_benchmark_ocsort_yolov8_20260817_083521,2026-08-17T06:05:36.213526+00:00,/media/7TBSSD/data/tracking/experiments/lumana_benchmark_ocsort_yolov8_20260817_083521
lumana_benchmark,hybridsort,2024,YOLOX,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,20,,2.4420,24,0.7788627369127272,0.7597804862746388,0.8049474224478951,0.8209438269901402,0.821021488141846,0.9113205679763371,273.0,993.0,288.0,59.0,lumana_benchmark_hybridsort_yolov8_20260817_083521,2026-08-17T06:06:23.512261+00:00,/media/7TBSSD/data/tracking/experiments/lumana_benchmark_hybridsort_yolov8_20260817_083521
lumana_benchmark,analytics_bytetrack,2022,YOLO,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,20,,1.4242,24,0.7808428721783439,0.7549117027020937,0.8143614252068985,0.8134574374670714,0.8223698620135796,0.922218539808532,259.0,1012.0,320.0,46.0,lumana_benchmark_analytics_bytetrack_yolov8_20260817_083521,2026-08-17T06:06:20.425899+00:00,/media/7TBSSD/data/tracking/experiments/lumana_benchmark_analytics_bytetrack_yolov8_20260817_083521
lumana_benchmark,analytics_bytetrack_plus,2022,YOLO,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,20,,2.2661,24,0.795740188202034,0.7546512428563528,0.8458804102998294,0.8116611053965227,0.8473767927056371,0.9344077654908985,264.0,1036.0,317.0,46.0,lumana_benchmark_analytics_bytetrack_plus_yolov8_20260817_083521,2026-08-17T06:06:45.991469+00:00,/media/7TBSSD/data/tracking/experiments/lumana_benchmark_analytics_bytetrack_plus_yolov8_20260817_083521
lumana_benchmark,botsort,2022,YOLOX,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,20,,1.0995,24,0.7501503774238953,0.7155668705001637,0.7927681014359758,0.7713088637447001,0.7775539263631018,0.8943099842157886,254.0,691.0,283.0,88.0,lumana_benchmark_botsort_yolov8_20260817_083521,2026-08-17T06:06:12.409170+00:00,/media/7TBSSD/data/tracking/experiments/lumana_benchmark_botsort_yolov8_20260817_083521
