benchmark,tracker,tracker_year,preferred_detector,detector_id,detector,FPS,target_fps,avg_ms_per_frame,sequence_count,HOTA,DetA,AssA,MOTA,IDF1,IDCons,IDSW,Frag,MT,ML,run_id,evaluated_at,experiment_dir
trafficmot,fasttracker,2025,YOLOX,gt_vehicles,gt,5,5.0,11.0589,27,0.8545987693220162,0.818921779260647,0.8958350997573077,0.9205358969114338,0.9582996768982229,0.9907570887942789,43.0,43.0,671.0,7.0,trafficmot_fasttracker_gt_fps5_20260817_083521,2026-08-17T05:36:09.437452+00:00,/media/7TBSSD/data/tracking/experiments/trafficmot_fasttracker_gt_fps5_20260817_083521
trafficmot,ocsort,2023,YOLOX,gt_vehicles,gt,5,5.0,5.9821,27,0.9663443554874305,0.9608304356719165,0.9718899180471826,0.9511147473921048,0.9693840296249935,0.9682452297006614,95.0,54.0,656.0,13.0,trafficmot_ocsort_gt_fps5_20260817_083521,2026-08-17T05:36:11.561163+00:00,/media/7TBSSD/data/tracking/experiments/trafficmot_ocsort_gt_fps5_20260817_083521
trafficmot,hybridsort,2024,YOLOX,gt_vehicles,gt,5,5.0,8.9453,27,0.9666634469137623,0.9615463284925344,0.9718077974091615,0.951728369809777,0.9694473409801877,0.967865386702434,96.0,53.0,657.0,13.0,trafficmot_hybridsort_gt_fps5_20260817_083521,2026-08-17T05:36:14.828653+00:00,/media/7TBSSD/data/tracking/experiments/trafficmot_hybridsort_gt_fps5_20260817_083521
trafficmot,analytics_bytetrack,2022,YOLO,gt_vehicles,gt,5,5.0,3.9158,27,0.9907856551315349,0.9918052506434195,0.9897671145416498,0.9901820413172427,0.9927629215213263,0.9954479548229547,23.0,25.0,710.0,3.0,trafficmot_analytics_bytetrack_gt_fps5_20260817_083521,2026-08-17T05:36:14.908990+00:00,/media/7TBSSD/data/tracking/experiments/trafficmot_analytics_bytetrack_gt_fps5_20260817_083521
trafficmot,analytics_bytetrack_plus,2022,YOLO,gt_vehicles,gt,5,5.0,5.3009,27,0.991642882250721,0.9920097166138186,0.9912761875729545,0.9912047453466967,0.9939953810623556,0.9968226218226217,15.0,21.0,711.0,3.0,trafficmot_analytics_bytetrack_plus_gt_fps5_20260817_083521,2026-08-17T05:36:18.908011+00:00,/media/7TBSSD/data/tracking/experiments/trafficmot_analytics_bytetrack_plus_gt_fps5_20260817_083521
trafficmot,botsort,2022,YOLOX,gt_vehicles,gt,5,5.0,4.5145,27,0.9370202618510035,0.9367740720777449,0.9388845188698559,0.9813867866639394,0.9809777050521579,0.972549019607843,182.0,19.0,731.0,0.0,trafficmot_botsort_gt_fps5_20260817_083521,2026-08-17T05:36:18.505016+00:00,/media/7TBSSD/data/tracking/experiments/trafficmot_botsort_gt_fps5_20260817_083521
cityflow,fasttracker,2025,YOLOX,gt_vehicles,gt,5,5.0,0.7398,36,0.8286727889035358,0.815914162132093,0.8458047321979643,0.898695792975535,0.922557067030194,0.9667126110708583,149.0,173.0,677.0,65.0,cityflow_fasttracker_gt_fps5_20260817_083521,2026-08-17T05:36:43.914281+00:00,/media/7TBSSD/data/tracking/experiments/cityflow_fasttracker_gt_fps5_20260817_083521
cityflow,ocsort,2023,YOLOX,gt_vehicles,gt,5,5.0,0.9371,36,0.9059778161165766,0.9114729001678099,0.9005158608053471,0.9094415167662732,0.9261170237343478,0.9754854323282879,69.0,132.0,497.0,120.0,cityflow_ocsort_gt_fps5_20260817_083521,2026-08-17T05:36:48.294393+00:00,/media/7TBSSD/data/tracking/experiments/cityflow_ocsort_gt_fps5_20260817_083521
cityflow,hybridsort,2024,YOLOX,gt_vehicles,gt,5,5.0,1.3285,36,0.9051151004070653,0.911266817793741,0.8990049116112111,0.9091471133747461,0.9252310536044362,0.9751976716809797,72.0,135.0,498.0,120.0,cityflow_hybridsort_gt_fps5_20260817_083521,2026-08-17T05:36:59.265700+00:00,/media/7TBSSD/data/tracking/experiments/cityflow_hybridsort_gt_fps5_20260817_083521
cityflow,analytics_bytetrack,2022,YOLO,gt_vehicles,gt,5,5.0,0.7327,36,0.9491141162959139,0.9733863653660598,0.9254471173244774,0.9717078340742485,0.9481315730588499,0.9827795994374029,62.0,169.0,689.0,35.0,cityflow_analytics_bytetrack_gt_fps5_20260817_083521,2026-08-17T05:37:09.962461+00:00,/media/7TBSSD/data/tracking/experiments/cityflow_analytics_bytetrack_gt_fps5_20260817_083521
cityflow,analytics_bytetrack_plus,2022,YOLO,gt_vehicles,gt,5,5.0,1.0606,36,0.9336518949315291,0.97147288563534,0.8973033357909599,0.9686754791415197,0.9352247274899209,0.9772374613818015,100.0,204.0,683.0,37.0,cityflow_analytics_bytetrack_plus_gt_fps5_20260817_083521,2026-08-17T05:37:19.458472+00:00,/media/7TBSSD/data/tracking/experiments/cityflow_analytics_bytetrack_plus_gt_fps5_20260817_083521
cityflow,botsort,2022,YOLOX,gt_vehicles,gt,5,5.0,0.6340,36,0.9261860485731268,0.9418466779296286,0.9121435352809663,0.9842788588924545,0.9592251302735008,0.9026269893632112,532.0,169.0,806.0,0.0,cityflow_botsort_gt_fps5_20260817_083521,2026-08-17T05:37:12.878119+00:00,/media/7TBSSD/data/tracking/experiments/cityflow_botsort_gt_fps5_20260817_083521
lumana_benchmark,fasttracker,2025,YOLOX,gt_vehicles,gt,5,5.0,1.7366,24,0.8919273173448543,0.9005825860647965,0.8845147754250399,0.9344781022633372,0.9146154306100891,0.877736957780146,355.0,458.0,329.0,51.0,lumana_benchmark_fasttracker_gt_fps5_20260915_123954,2026-09-15T09:40:19.196929+00:00,/media/7TBSSD/data/tracking/experiments/lumana_benchmark_fasttracker_gt_fps5_20260915_123954
lumana_benchmark,ocsort,2023,YOLOX,gt_vehicles,gt,5,5.0,1.9657,24,0.9272519823634093,0.9591012876238443,0.8964603128580496,0.9560231372311909,0.9208840256281046,0.9165784824746441,185.0,376.0,244.0,113.0,lumana_benchmark_ocsort_gt_fps5_20260915_123954,2026-09-15T09:40:19.748654+00:00,/media/7TBSSD/data/tracking/experiments/lumana_benchmark_ocsort_gt_fps5_20260915_123954
lumana_benchmark,hybridsort,2024,YOLOX,gt_vehicles,gt,5,5.0,3.0293,24,0.9130294911210409,0.9574001399754067,0.8707152109098417,0.9538263095310076,0.9040797003005229,0.9087677342547288,221.0,394.0,240.0,113.0,lumana_benchmark_hybridsort_gt_fps5_20260915_123954,2026-09-15T09:40:26.501440+00:00,/media/7TBSSD/data/tracking/experiments/lumana_benchmark_hybridsort_gt_fps5_20260915_123954
lumana_benchmark,analytics_bytetrack,2022,YOLO,gt_vehicles,gt,5,5.0,1.5039,24,0.9490197392248255,0.9900409841507115,0.9096981674308732,0.984823749924421,0.9407786159064446,0.9084840753024734,284.0,433.0,367.0,34.0,lumana_benchmark_analytics_bytetrack_gt_fps5_20260915_123954,2026-09-15T09:40:15.724479+00:00,/media/7TBSSD/data/tracking/experiments/lumana_benchmark_analytics_bytetrack_gt_fps5_20260915_123954
lumana_benchmark,analytics_bytetrack_plus,2022,YOLO,gt_vehicles,gt,5,5.0,2.4230,24,0.9562709968667366,0.9872614692844146,0.9262534640749024,0.9830300098756475,0.952112676056338,0.9100267620289054,298.0,465.0,360.0,41.0,lumana_benchmark_analytics_bytetrack_plus_gt_fps5_20260915_123954,2026-09-15T09:40:21.705229+00:00,/media/7TBSSD/data/tracking/experiments/lumana_benchmark_analytics_bytetrack_plus_gt_fps5_20260915_123954
lumana_benchmark,analytics_bytetrack_plus_aug19,2026,YOLO,gt_vehicles,gt,5,5.0,2.0695,24,0.951939219919145,0.9711027544528473,0.9331538864385326,0.9679746860954914,0.9526894465789258,0.929606613171433,219.0,428.0,279.0,90.0,lumana_benchmark_analytics_bytetrack_plus_aug19_gt_fps5_20260915_123954,2026-09-15T09:40:20.173813+00:00,/media/7TBSSD/data/tracking/experiments/lumana_benchmark_analytics_bytetrack_plus_aug19_gt_fps5_20260915_123954
lumana_benchmark,botsort,2022,YOLOX,gt_vehicles,gt,5,5.0,1.3818,24,0.9219388508087016,0.9787648186495274,0.86868213159787,0.9833524799967753,0.9072898401757462,0.7930073664240385,822.0,430.0,455.0,0.0,lumana_benchmark_botsort_gt_fps5_20260915_123954,2026-09-15T09:40:16.413974+00:00,/media/7TBSSD/data/tracking/experiments/lumana_benchmark_botsort_gt_fps5_20260915_123954
