index,label,negative_label,category,type,high_conf,low_conf,calibrated,undefined_index
0,black,,upperbodyColor,multi_select,0.5,0.5,1,64
1,blue,,upperbodyColor,multi_select,0.5,0.5,1,64
2,brown,,upperbodyColor,multi_select,0.7609180212020874,0.5,1,64
3,green,,upperbodyColor,multi_select,0.7589476108551025,0.5,1,64
4,grey,,upperbodyColor,multi_select,0.777750551700592,0.5,1,64
5,orange,,upperbodyColor,multi_select,0.8541733026504517,0.5744596719741821,1,64
6,pink,,upperbodyColor,multi_select,0.9333155155181885,0.6393716335296631,1,64
7,purple,,upperbodyColor,multi_select,0.9127454161643982,0.750632107257843,1,64
8,red,,upperbodyColor,multi_select,0.8545587658882141,0.5,1,64
9,white,,upperbodyColor,multi_select,0.7235966324806213,0.5,1,64
10,yellow,,upperbodyColor,multi_select,0.9353272914886475,0.6572968363761902,1,64
11,black,,lowerbodyColor,multi_select,0.5,0.5,1,65
12,blue,,lowerbodyColor,multi_select,0.5,0.5,1,65
13,brown,,lowerbodyColor,multi_select,0.6980477571487427,0.5,1,65
14,green,,lowerbodyColor,multi_select,0.9066330790519714,0.6851804852485657,1,65
15,grey,,lowerbodyColor,multi_select,0.8372349739074707,0.5770742297172546,1,65
16,orange,,lowerbodyColor,multi_select,0.9296833276748657,0.7624803781509399,1,65
17,pink,,lowerbodyColor,multi_select,0.7844896912574768,0.5,1,65
18,purple,,lowerbodyColor,multi_select,0.9316078424453735,0.8295349478721619,1,65
19,red,,lowerbodyColor,multi_select,0.5,0.5,1,65
20,white,,lowerbodyColor,multi_select,0.8331177234649658,0.515173077583313,1,65
21,yellow,,lowerbodyColor,multi_select,0.8915700912475586,0.6917280554771423,1,65
22,black,,hairColor,multi_select,0.5,0.5,1,66
23,blue,,hairColor,multi_select,0.9959251880645752,0.9959251880645752,1,66
24,brown,,hairColor,multi_select,0.5589224696159363,0.5,1,66
25,green,,hairColor,multi_select,0.9966974258422852,0.9966974258422852,1,66
26,grey,,hairColor,multi_select,0.8452467918395996,0.5,1,66
27,orange,,hairColor,multi_select,0.9787003397941589,0.9516633749008179,1,66
28,pink,,hairColor,multi_select,0.9992250204086304,0.9992250204086304,1,66
29,purple,,hairColor,multi_select,0.9284093976020813,0.9284093976020813,1,66
30,red,,hairColor,multi_select,0.9988692402839661,0.9988692402839661,1,66
31,white,,hairColor,multi_select,0.8601390719413757,0.5392228960990906,1,66
32,yellow,,hairColor,multi_select,0.7821215391159058,0.5,1,66
33,black,,footwearColor,multi_select,0.5,0.5,1,67
34,blue,,footwearColor,multi_select,0.6144466996192932,0.5,1,67
35,brown,,footwearColor,multi_select,0.6180636286735535,0.5,1,67
36,green,,footwearColor,multi_select,0.9260104298591614,0.7329248785972595,1,67
37,grey,,footwearColor,multi_select,0.879514217376709,0.6313685178756714,1,67
38,orange,,footwearColor,multi_select,0.9904336929321289,0.8089005947113037,1,67
39,pink,,footwearColor,multi_select,0.8218716979026794,0.5,1,67
40,purple,,footwearColor,multi_select,0.9137238264083862,0.8887820243835449,1,67
41,red,,footwearColor,multi_select,0.5754218697547913,0.5,1,67
42,white,,footwearColor,multi_select,0.7985052466392517,0.5040085911750793,1,67
43,yellow,,footwearColor,multi_select,0.9437060952186584,0.6969871520996094,1,67
44,male,female,genderType,binary,0.5,0.5,1,68
45,18_to_60,,ageType,single_select,0.0,0.0,1,69
46,over_60,,ageType,single_select,0.6424791216850281,0.22508561611175537,1,69
47,less_18,,ageType,single_select,0.38814589381217957,0.07916314154863358,1,69
48,hat,no_hat,accessoryType,binary,0.5,0.5,1,70
49,glasses,no_glasses,accessoryType,binary,0.701221764087677,0.5,1,71
50,bag,no_bag,carryingType,binary,0.5055017471313477,0.5,1,72
51,object,no_object,carryingType,binary,0.5331389904022217,0.5,1,73
52,short_sleeve,long_sleeve,upperbodyType,binary,0.5,0.5,1,74
53,logo,no_logo,upperbodyType,binary,0.5450199246406555,0.5,1,76
54,not_solid,solid,upperbodyType,binary,0.5944305658340454,0.5,1,77
55,not_solid,solid,lowerbodyType,binary,0.725665271282196,0.5,1,78
56,trousers,,lowerbodyType,single_select,0.0,0.0,1,79
57,shorts,,lowerbodyType,single_select,0.02819841541349888,0.0,1,79
58,skirt_and_dress,,lowerbodyType,single_select,0.32336536049842834,0.05254524201154709,1,79
59,front,,poseType,multi_select,0.5,0.5,1,80
60,side,,poseType,multi_select,0.5,0.5,1,80
61,back,,poseType,multi_select,0.5,0.5,1,80
62,occluded,not_occluded,specialType,binary,0.5,0.5,1,-1
