index,label,negative_label,category,type,high_conf,med_conf,low_conf,calibrated,undefined_index
0,black,,upperbodyColor,multi_select,0.5,0.5,0.5,1,64
1,blue,,upperbodyColor,multi_select,0.5,0.5,0.5,1,64
2,brown,,upperbodyColor,multi_select,0.706056535,0.603028268,0.5,1,64
3,green,,upperbodyColor,multi_select,0.800989509,0.650494755,0.5,1,64
4,grey,,upperbodyColor,multi_select,0.833007514,0.666503757,0.5,1,64
5,orange,,upperbodyColor,multi_select,0.833112478,0.678970903,0.524829328,1,64
6,pink,,upperbodyColor,multi_select,0.902897179,0.768298716,0.633700252,1,64
7,purple,,upperbodyColor,multi_select,0.894966602,0.801910609,0.708854616,1,64
8,red,,upperbodyColor,multi_select,0.808044851,0.654022426,0.5,1,64
9,white,,upperbodyColor,multi_select,0.712115824,0.606057912,0.5,1,64
10,yellow,,upperbodyColor,multi_select,0.881997705,0.739127785,0.596257865,1,64
11,black,,lowerbodyColor,multi_select,0.5,0.5,0.5,1,65
12,blue,,lowerbodyColor,multi_select,0.5,0.5,0.5,1,65
13,brown,,lowerbodyColor,multi_select,0.63773042,0.56886521,0.5,1,65
14,green,,lowerbodyColor,multi_select,0.889954686,0.750850886,0.611747086,1,65
15,grey,,lowerbodyColor,multi_select,0.859126627,0.71574524,0.572363853,1,65
16,orange,,lowerbodyColor,multi_select,0.893642604,0.758844525,0.624046445,1,65
17,pink,,lowerbodyColor,multi_select,0.794801891,0.647400946,0.5,1,65
18,purple,,lowerbodyColor,multi_select,0.940186799,0.834175617,0.728164434,1,65
19,red,,lowerbodyColor,multi_select,0.5,0.5,0.5,1,65
20,white,,lowerbodyColor,multi_select,0.833472788,0.666736394,0.5,1,65
21,yellow,,lowerbodyColor,multi_select,0.877233267,0.754990429,0.632747591,1,65
22,black,,hairColor,multi_select,0.5,0.5,0.5,1,66
23,blue,,hairColor,multi_select,0.883671522,0.883671522,0.883671522,1,66
24,brown,,hairColor,multi_select,0.585953593,0.542976797,0.5,1,66
25,green,,hairColor,multi_select,0.981374443,0.981374443,0.981374443,1,66
26,grey,,hairColor,multi_select,0.820699453,0.666700423,0.512701392,1,66
27,orange,,hairColor,multi_select,0.997148216,0.997148216,0.997148216,1,66
28,pink,,hairColor,multi_select,0.955979466,0.955979466,0.955979466,1,66
29,purple,,hairColor,multi_select,0.89034611,0.89034611,0.89034611,1,66
30,red,,hairColor,multi_select,0.99459064,0.987059593,0.979528546,1,66
31,white,,hairColor,multi_select,0.863847136,0.728728116,0.593609095,1,66
32,yellow,,hairColor,multi_select,0.754525304,0.627262652,0.5,1,66
33,black,,footwearColor,multi_select,0.5,0.5,0.5,1,67
34,blue,,footwearColor,multi_select,0.568279564,0.534139782,0.5,1,67
35,brown,,footwearColor,multi_select,0.553785324,0.526892662,0.5,1,67
36,green,,footwearColor,multi_select,0.861284137,0.721047044,0.580809951,1,67
37,grey,,footwearColor,multi_select,0.803880334,0.72102654,0.638172746,1,67
38,orange,,footwearColor,multi_select,0.870832562,0.749616414,0.628400266,1,67
39,pink,,footwearColor,multi_select,0.738293529,0.619146765,0.5,1,67
40,purple,,footwearColor,multi_select,0.972786784,0.901968509,0.831150234,1,67
41,red,,footwearColor,multi_select,0.5,0.5,0.5,1,67
42,white,,footwearColor,multi_select,0.814375997,0.665244192,0.516112387,1,67
43,yellow,,footwearColor,multi_select,0.918809414,0.792897523,0.666985631,1,67
44,male,female,genderType,binary,0.5,0.5,0.5,1,68
45,18_to_60,,ageType,single_select,0,0,0,1,69
46,over_60,,ageType,single_select,0.746607304,0.518155933,0.289704561,1,69
47,less_18,,ageType,single_select,0.397626668,0.236354116,0.075081564,1,69
48,hat,no_hat,accessoryType,binary,0.5,0.5,0.5,1,70
49,glasses,no_glasses,accessoryType,binary,0.769275248,0.634637624,0.5,1,71
50,bag,no_bag,carryingType,binary,0.509022117,0.504511059,0.5,1,72
51,object,no_object,carryingType,binary,0.570595443,0.535297722,0.5,1,73
52,short_sleeve,long_sleeve,upperbodyType,binary,0.5,0.5,0.5,1,74
53,logo,no_logo,upperbodyType,binary,0.56111753,0.530558765,0.5,1,76
54,not_solid,solid,upperbodyType,binary,0.603004992,0.551502496,0.5,1,77
55,not_solid,solid,lowerbodyType,binary,0.689107418,0.594553709,0.5,1,78
