index,label,negative_label,category,type,high_conf,med_conf,low_conf,calibrated,undefined_index
0,black,,upperbodyColor,multi_select,0.5,0.5,0.5,1,64
1,blue,,upperbodyColor,multi_select,0.5,0.5,0.5,1,64
2,brown,,upperbodyColor,multi_select,0.737020254,0.618510127,0.5,1,64
3,green,,upperbodyColor,multi_select,0.812835276,0.656417638,0.5,1,64
4,grey,,upperbodyColor,multi_select,0.84825623,0.674128115,0.5,1,64
5,orange,,upperbodyColor,multi_select,0.872632802,0.716035664,0.559438527,1,64
6,pink,,upperbodyColor,multi_select,0.921725988,0.793497592,0.665269196,1,64
7,purple,,upperbodyColor,multi_select,0.903291225,0.803556412,0.703821599,1,64
8,red,,upperbodyColor,multi_select,0.850991011,0.675495505,0.5,1,64
9,white,,upperbodyColor,multi_select,0.725130975,0.612565488,0.5,1,64
10,yellow,,upperbodyColor,multi_select,0.888853848,0.773303926,0.657754004,1,64
11,black,,lowerbodyColor,multi_select,0.5,0.5,0.5,1,65
12,blue,,lowerbodyColor,multi_select,0.5,0.5,0.5,1,65
13,brown,,lowerbodyColor,multi_select,0.66301614,0.58150807,0.5,1,65
14,green,,lowerbodyColor,multi_select,0.901808679,0.783984214,0.666159749,1,65
15,grey,,lowerbodyColor,multi_select,0.895852983,0.742575109,0.589297235,1,65
16,orange,,lowerbodyColor,multi_select,0.917931139,0.80635187,0.694772601,1,65
17,pink,,lowerbodyColor,multi_select,0.827608526,0.663804263,0.5,1,65
18,purple,,lowerbodyColor,multi_select,0.979184389,0.874686569,0.770188749,1,65
19,red,,lowerbodyColor,multi_select,0.864888966,0.721484751,0.578080535,1,65
20,white,,lowerbodyColor,multi_select,0.816754341,0.678062558,0.539370775,1,65
21,yellow,,lowerbodyColor,multi_select,0.858590364,0.775906712,0.693223059,1,65
22,black,,hairColor,multi_select,0.5,0.5,0.5,1,66
23,blue,,hairColor,multi_select,0.99634403,0.99634403,0.99634403,1,66
24,brown,,hairColor,multi_select,0.603443742,0.551721871,0.5,1,66
25,green,,hairColor,multi_select,0.993908167,0.993908167,0.993908167,1,66
26,grey,,hairColor,multi_select,0.826987326,0.68111217,0.535237014,1,66
27,orange,,hairColor,multi_select,0.996924698,0.996924698,0.996924698,1,66
28,pink,,hairColor,multi_select,0.796513081,0.796513081,0.796513081,1,66
29,purple,,hairColor,multi_select,0.983839154,0.983839154,0.983839154,1,66
30,red,,hairColor,multi_select,0.985378385,0.977014214,0.968650043,1,66
31,white,,hairColor,multi_select,0.879445076,0.739676148,0.599907219,1,66
32,yellow,,hairColor,multi_select,0.788680077,0.644340038,0.5,1,66
33,black,,footwearColor,multi_select,0.5,0.5,0.5,1,67
34,blue,,footwearColor,multi_select,0.586923122,0.543461561,0.5,1,67
35,brown,,footwearColor,multi_select,0.600641906,0.550320953,0.5,1,67
36,green,,footwearColor,multi_select,0.988642633,0.837170839,0.685699046,1,67
37,grey,,footwearColor,multi_select,0.801239312,0.729187727,0.657136142,1,67
38,orange,,footwearColor,multi_select,0.954379141,0.814352125,0.674325109,1,67
39,pink,,footwearColor,multi_select,0.7683025,0.63415125,0.5,1,67
40,purple,,footwearColor,multi_select,0.996069789,0.936051667,0.876033545,1,67
41,red,,footwearColor,multi_select,0.5,0.5,0.5,1,67
42,white,,footwearColor,multi_select,0.798213601,0.675296813,0.552380025,1,67
43,yellow,,footwearColor,multi_select,0.915014505,0.796473056,0.677931607,1,67
44,male,female,genderType,binary,0.5,0.5,0.5,1,68
45,18_to_60,,ageType,single_select,0,0,0,1,69
46,over_60,,ageType,single_select,0.745976627,0.538670421,0.331364214,1,69
47,less_18,,ageType,single_select,0.479822487,0.29226153,0.104700573,1,69
48,hat,no_hat,accessoryType,binary,0.5,0.5,0.5,1,70
49,glasses,no_glasses,accessoryType,binary,0.751536846,0.625768423,0.5,1,71
50,bag,no_bag,carryingType,binary,0.587647796,0.543823898,0.5,1,72
51,object,no_object,carryingType,binary,0.646766484,0.573383242,0.5,1,73
52,short_sleeve,long_sleeve,upperbodyType,binary,0.5,0.5,0.5,1,74
53,logo,no_logo,upperbodyType,binary,0.614289284,0.557144642,0.5,1,76
54,not_solid,solid,upperbodyType,binary,0.62287879,0.561439395,0.5,1,77
55,not_solid,solid,lowerbodyType,binary,0.711316705,0.605658352,0.5,1,78
