index,label,negative_label,category,type,high_conf,med_conf,low_conf,calibrated,undefined_index
0,black,,upperbodyColor,multi_select,0.5,0.5,0.5,1,64
1,blue,,upperbodyColor,multi_select,0.5,0.5,0.5,1,64
2,brown,,upperbodyColor,multi_select,0.760918021,0.630459011,0.5,1,64
3,green,,upperbodyColor,multi_select,0.758947611,0.629473805,0.5,1,64
4,grey,,upperbodyColor,multi_select,0.777750552,0.638875276,0.5,1,64
5,orange,,upperbodyColor,multi_select,0.854173303,0.714316487,0.574459672,1,64
6,pink,,upperbodyColor,multi_select,0.933315516,0.786343575,0.639371634,1,64
7,purple,,upperbodyColor,multi_select,0.912745416,0.831688762,0.750632107,1,64
8,red,,upperbodyColor,multi_select,0.854558766,0.677279383,0.5,1,64
9,white,,upperbodyColor,multi_select,0.723596632,0.611798316,0.5,1,64
10,yellow,,upperbodyColor,multi_select,0.935327291,0.796312064,0.657296836,1,64
11,black,,lowerbodyColor,multi_select,0.5,0.5,0.5,1,65
12,blue,,lowerbodyColor,multi_select,0.5,0.5,0.5,1,65
13,brown,,lowerbodyColor,multi_select,0.698047757,0.599023879,0.5,1,65
14,green,,lowerbodyColor,multi_select,0.906633079,0.795906782,0.685180485,1,65
15,grey,,lowerbodyColor,multi_select,0.837234974,0.707154602,0.57707423,1,65
16,orange,,lowerbodyColor,multi_select,0.929683328,0.846081853,0.762480378,1,65
17,pink,,lowerbodyColor,multi_select,0.784489691,0.642244846,0.5,1,65
18,purple,,lowerbodyColor,multi_select,0.931607842,0.880571395,0.829534948,1,65
19,red,,lowerbodyColor,multi_select,0.5,0.5,0.5,1,65
20,white,,lowerbodyColor,multi_select,0.833117723,0.674145401,0.515173078,1,65
21,yellow,,lowerbodyColor,multi_select,0.891570091,0.791649073,0.691728055,1,65
22,black,,hairColor,multi_select,0.5,0.5,0.5,1,66
23,blue,,hairColor,multi_select,0.995925188,0.995925188,0.995925188,1,66
24,brown,,hairColor,multi_select,0.55892247,0.529461235,0.5,1,66
25,green,,hairColor,multi_select,0.996697426,0.996697426,0.996697426,1,66
26,grey,,hairColor,multi_select,0.845246792,0.672623396,0.5,1,66
27,orange,,hairColor,multi_select,0.97870034,0.965181857,0.951663375,1,66
28,pink,,hairColor,multi_select,0.99922502,0.99922502,0.99922502,1,66
29,purple,,hairColor,multi_select,0.928409398,0.928409398,0.928409398,1,66
30,red,,hairColor,multi_select,0.99886924,0.99886924,0.99886924,1,66
31,white,,hairColor,multi_select,0.860139072,0.699680984,0.539222896,1,66
32,yellow,,hairColor,multi_select,0.782121539,0.64106077,0.5,1,66
33,black,,footwearColor,multi_select,0.5,0.5,0.5,1,67
34,blue,,footwearColor,multi_select,0.6144467,0.55722335,0.5,1,67
35,brown,,footwearColor,multi_select,0.618063629,0.559031814,0.5,1,67
36,green,,footwearColor,multi_select,0.92601043,0.829467654,0.732924879,1,67
37,grey,,footwearColor,multi_select,0.879514217,0.755441368,0.631368518,1,67
38,orange,,footwearColor,multi_select,0.990433693,0.899667144,0.808900595,1,67
39,pink,,footwearColor,multi_select,0.821871698,0.660935849,0.5,1,67
40,purple,,footwearColor,multi_select,0.913723826,0.901252925,0.888782024,1,67
41,red,,footwearColor,multi_select,0.57542187,0.537710935,0.5,1,67
42,white,,footwearColor,multi_select,0.798505247,0.651256919,0.504008591,1,67
43,yellow,,footwearColor,multi_select,0.943706095,0.820346624,0.696987152,1,67
44,male,female,genderType,binary,0.5,0.5,0.5,1,68
45,18_to_60,,ageType,single_select,0,0,0,1,69
46,over_60,,ageType,single_select,0.642479122,0.433782369,0.225085616,1,69
47,less_18,,ageType,single_select,0.388145894,0.233654518,0.079163142,1,69
48,hat,no_hat,accessoryType,binary,0.5,0.5,0.5,1,70
49,glasses,no_glasses,accessoryType,binary,0.701221764,0.600610882,0.5,1,71
50,bag,no_bag,carryingType,binary,0.505501747,0.502750874,0.5,1,72
51,object,no_object,carryingType,binary,0.53313899,0.516569495,0.5,1,73
52,short_sleeve,long_sleeve,upperbodyType,binary,0.5,0.5,0.5,1,74
53,logo,no_logo,upperbodyType,binary,0.545019925,0.522509962,0.5,1,76
54,not_solid,solid,upperbodyType,binary,0.594430566,0.547215283,0.5,1,77
55,not_solid,solid,lowerbodyType,binary,0.725665271,0.612832636,0.5,1,78
